Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.17263640000000,1.69870000000000,545.91230000000007,0,Composed: Copy with GPU GDI,1.80280000000000,22.38400000000000,533.28940000000000
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.18043720000000,0.84010000000000,7.80080000000000,0,Composed: Copy with GPU GDI,1.00920000000000,31.24950000000000,16.66630000000000
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.19661780000000,0.81190000000000,16.18060000000000,0,Composed: Copy with GPU GDI,0.94050000000000,31.73600000000000,16.66710000000000
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.21341650000000,0.81650000000000,16.79870000000000,0,Composed: Copy with GPU GDI,0.93920000000000,31.60320000000000,16.66590000000000
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.23002130000000,0.80170000000000,16.60480000000000,0,Composed: Copy with GPU GDI,0.91130000000000,31.66360000000000,16.66520000000000
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.24653470000000,0.44550000000000,16.51340000000000,0,Composed: Copy with GPU GDI,0.57350000000000,31.81830000000000,16.66810000000000
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.26324260000000,0.52100000000000,16.70790000000000,0,Composed: Copy with GPU GDI,0.65730000000000,31.77800000000000,16.66760000000000
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.27995510000000,0.71780000000000,16.71250000000000,0,Composed: Copy with GPU GDI,0.83850000000000,31.73680000000000,16.67130000000000
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.29648420000000,0.53310000000000,16.52910000000000,0,Composed: Copy with GPU GDI,0.66560000000000,31.86550000000000,16.65780000000000
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.31349940000000,0.85370000000000,17.01520000000000,0,Composed: Copy with GPU GDI,1.25640000000000,31.52080000000000,16.67050000000000
M1937.exe,20204,0x000000000B66E140,D3D9,-1,0,0,1.33002250000000,0.64760000000000,16.52310000000000,0,Composed: Copy with GPU GDI,0.72790000000000,31.65450000000000,16.65680000000000
