Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,1,1.25315350000000,1.88380000000000,516.54710000000000,0,Composed: Copy with GPU GDI,1.85590000000000,0.00000000000000,0.00000000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.25564140000000,0.78070000000000,2.48790000000000,0,Composed: Copy with GPU GDI,0.89830000000000,17.48060000000000,499.93539999999996
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.27145630000000,0.84840000000000,15.81490000000000,0,Composed: Copy with GPU GDI,0.96330000000000,18.31220000000000,16.64650000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.28825690000000,0.56970000000000,16.80060000000000,0,Composed: Copy with GPU GDI,0.70650000000000,18.19290000000000,16.68130000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.30477330000000,0.70960000000000,16.51640000000000,0,Composed: Copy with GPU GDI,0.81290000000000,18.32940000000000,16.65290000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.32179760000000,0.65350000000000,17.02430000000000,0,Composed: Copy with GPU GDI,0.75940000000000,17.97120000000000,16.66610000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.33824950000000,0.53890000000000,16.45190000000000,0,Composed: Copy with GPU GDI,0.66740000000000,18.21400000000000,16.69470000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.35481740000000,0.77010000000000,16.56790000000000,0,Composed: Copy with GPU GDI,0.89750000000000,18.28230000000000,16.63620000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.37180720000000,0.71420000000000,16.98980000000000,0,Composed: Copy with GPU GDI,0.81390000000000,17.95350000000000,16.66100000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.38862560000000,0.54820000000000,16.81840000000000,0,Composed: Copy with GPU GDI,0.68350000000000,17.80730000000000,16.67220000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.40459990000000,0.57750000000000,15.97430000000000,0,Composed: Copy with GPU GDI,0.69370000000000,18.50060000000000,16.66760000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.42144000000000,0.50960000000000,16.84010000000000,0,Composed: Copy with GPU GDI,0.65460000000000,18.31840000000000,16.65790000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.43805000000000,0.77580000000000,16.61000000000000,0,Composed: Copy with GPU GDI,0.88360000000000,18.37860000000000,16.67020000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.45512680000000,0.65810000000000,17.07680000000000,0,Composed: Copy with GPU GDI,0.77070000000000,17.96500000000000,16.66320000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.47208180000000,0.65610000000000,16.95500000000000,0,Composed: Copy with GPU GDI,0.77660000000000,17.67620000000000,16.66620000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.48791300000000,0.47630000000000,15.83120000000000,0,Composed: Copy with GPU GDI,0.61840000000000,18.50840000000000,16.66340000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.50494550000000,0.50890000000000,17.03250000000000,0,Composed: Copy with GPU GDI,0.65740000000000,18.13860000000000,16.66270000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.52178260000000,0.54270000000000,16.83710000000000,0,Composed: Copy with GPU GDI,0.67800000000000,17.96800000000000,16.66650000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.53881580000000,0.58970000000000,17.03320000000000,0,Composed: Copy with GPU GDI,0.72860000000000,17.59580000000000,16.66100000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.55463130000000,0.45730000000000,15.81550000000000,0,Composed: Copy with GPU GDI,0.57550000000000,18.50650000000000,16.72620000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.57185560000000,0.39880000000000,17.22430000000000,0,Composed: Copy with GPU GDI,0.57530000000000,18.02950000000000,16.74730000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.58861580000000,0.45930000000000,16.76020000000000,0,Composed: Copy with GPU GDI,0.60840000000000,17.94470000000000,16.67540000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.60541650000000,0.59620000000000,16.80070000000000,0,Composed: Copy with GPU GDI,0.67790000000000,17.80830000000000,16.66430000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.62212530000000,0.58620000000000,16.70880000000000,0,Composed: Copy with GPU GDI,0.69830000000000,17.65030000000000,16.55080000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.63881750000000,0.57240000000000,16.69220000000000,0,Composed: Copy with GPU GDI,0.68430000000000,17.67480000000000,16.71670000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.65493430000000,0.61150000000000,16.11680000000000,0,Composed: Copy with GPU GDI,0.73070000000000,18.33270000000000,16.77470000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.67160850000000,0.81060000000000,16.67420000000000,0,Composed: Copy with GPU GDI,0.76260000000000,18.20200000000000,16.54350000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.68785780000000,0.82710000000000,16.24930000000000,0,Composed: Copy with GPU GDI,0.77950000000000,18.58540000000000,16.63270000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.70558500000000,1.02220000000000,17.72720000000000,0,Composed: Copy with GPU GDI,0.84480000000000,17.51260000000000,16.65440000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.72201040000000,0.82550000000000,16.42540000000000,0,Composed: Copy with GPU GDI,0.77980000000000,17.91430000000000,16.82710000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.73834050000000,0.84020000000000,16.33010000000000,0,Composed: Copy with GPU GDI,0.78540000000000,18.25150000000000,16.66730000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.75503310000000,0.84260000000000,16.69260000000000,0,Composed: Copy with GPU GDI,0.78780000000000,18.10940000000000,16.55050000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.77187460000000,0.82040000000000,16.84150000000000,0,Composed: Copy with GPU GDI,0.79930000000000,17.93400000000000,16.66610000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.78834610000000,0.80150000000000,16.47150000000000,0,Composed: Copy with GPU GDI,0.78060000000000,18.12010000000000,16.65760000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.80489510000000,1.02670000000000,16.54900000000000,0,Composed: Copy with GPU GDI,0.97890000000000,18.24880000000000,16.67770000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.82180800000000,0.73010000000000,16.91290000000000,0,Composed: Copy with GPU GDI,0.80630000000000,17.99070000000000,16.65480000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.83832700000000,0.78180000000000,16.51900000000000,0,Composed: Copy with GPU GDI,0.76450000000000,18.09720000000000,16.62550000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.85488400000000,0.65010000000000,16.55700000000000,0,Composed: Copy with GPU GDI,0.76540000000000,18.19560000000000,16.65540000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.87180610000000,0.72370000000000,16.92210000000000,0,Composed: Copy with GPU GDI,0.82750000000000,17.94080000000000,16.66730000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.88815390000000,0.62270000000000,16.34780000000000,0,Composed: Copy with GPU GDI,0.70740000000000,18.27500000000000,16.68200000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.90527510000000,0.75000000000000,17.12120000000000,0,Composed: Copy with GPU GDI,0.83120000000000,17.78790000000000,16.63410000000000
M1937.exe,10988,0x000000000B6B9F00,D3D9,-1,0,0,1.92215840000000,0.60470000000000,16.88330000000000,0,Composed: Copy with GPU GDI,0.73200000000000,17.57640000000000,16.67180000000000
